Lat,Lat_MIn,Lon,Lon_Min,Thru
47,50.3711,106,9.0466,3.2
47,50.3863,106,9.0466,3.2
47,50.3711,106,9.0591,3.2
47,50.3863,106,9.0591,3.2
47,49.1655,106,8.6411,1.79
47,49.1805,106,8.6411,1.79
47,49.1655,106,8.6536,1.79
47,49.1805,106,8.6536,1.79
47,47.9139,106,9.2118,3.03
47,47.9306,106,9.2118,3.03
47,47.9139,106,9.2174,3.03
47,47.9306,106,9.2174,3.03
47,46.5685,106,9.2472,2.61
47,45.1216,106,9.1661,2.75
47,45.1397,106,9.1661,2.75
47,45.1216,106,9.1675,2.75
47,45.1397,106,9.1675,2.75
47,43.6853,106,9.1159,3.15
47,43.7034,106,9.1159,3.15
47,43.6853,106,9.1202,3.15
47,43.7034,106,9.1202,3.15
47,42.8849,106,9.2397,2.98
47,42.152,106,9.2735,3.08
47,41.4531,106,9.3049,3.05
47,40.797,106,9.2792,3.3
47,40.1405,106,9.2341,3.19
47,39.433,106,9.1852,2.84
47,38.7097,106,9.175,2.76
47,37.9854,106,9.1764,2.53
47,37.2628,106,9.1764,3.07
47,35.821,106,9.178,2.71
47,35.1025,106,9.1788,2.62
47,34.3569,106,9.1795,2.72
47,33.651,106,9.1797,2.58
47,32.9292,106,9.1809,2.72
47,32.2071,106,9.2061,3.19
47,31.4929,106,9.2559,2.98
47,30.7718,106,9.2881,3.71
47,27.9698,106,10.195,NULL
47,26.677,106,10.2493,2.58
47,26.695,106,10.2493,2.58
47,26.677,106,10.2494,2.58
47,26.695,106,10.2494,2.58
47,25.2688,106,10.2477,2.77
47,25.2858,106,10.2477,2.77
47,25.2688,106,10.2478,2.77
47,25.2858,106,10.2478,2.77
47,23.7834,106,10.3384,2.64
47,23.8008,106,10.3384,2.64
47,22.4007,106,10.2444,2.66
47,22.4187,106,10.2444,2.66
47,22.4007,106,10.2445,2.66
47,22.4187,106,10.2445,2.66
47,20.9694,106,10.2428,2.73
47,19.5589,106,10.2412,2.75
47,19.567,106,10.2412,2.75
47,19.5589,106,10.2413,2.75
47,19.567,106,10.2413,2.75
47,19.5391,106,11.6047,2.55
47,19.5391,106,11.6313,2.55
47,19.5411,106,13.5528,2.6
47,19.6091,106,15.4455,2.6
47,19.6106,106,15.4455,2.6
47,19.6091,106,15.4699,2.6
47,19.6106,106,15.4699,2.6
47,19.8347,106,17.2652,2.64
47,19.8444,106,17.2652,2.64
47,19.8347,106,17.2845,2.64
47,19.8444,106,17.2845,2.64
47,20.0167,106,19.0211,NULL
47,20.0196,106,19.0211,NULL
47,20.0167,106,19.0446,NULL
47,20.0196,106,19.0446,NULL
47,20.3137,106,20.854,2.29
47,20.3154,106,20.854,2.29
47,20.3137,106,20.8782,2.29
47,20.3154,106,20.8782,2.29
47,20.3856,106,21.9699,2.69
47,20.4444,106,22.894,1.88
47,20.5206,106,23.8486,2.72
47,20.6024,106,24.8154,2.32
47,20.6799,106,25.7347,2.32
47,20.7595,106,26.679,2.34
47,20.8387,106,27.6254,2.67
47,20.9172,106,28.5615,2.48
47,20.9962,106,29.5043,2.72
47,20.9685,106,30.4541,2.69
47,20.911,106,31.3789,2.66
47,20.8524,106,32.3275,2.79
47,20.8078,106,33.0465,2.53
47,20.8005,106,33.1642,2.72
47,20.8005,106,33.1641,2.75
47,20.8006,106,33.164,2.84
47,20.8006,106,33.1639,2.76
47,20.8006,106,33.1637,2.77
47,20.8006,106,33.1636,2.76
47,20.8006,106,33.1634,2.69
47,20.8006,106,33.1633,2.7
47,20.8006,106,33.1632,2.72
47,20.8006,106,33.1631,2.72
47,20.8006,106,33.1629,2.6
47,20.8006,106,33.1628,2.72
47,20.8007,106,33.1627,NULL
47,20.8007,106,33.1626,2.72
47,20.8007,106,33.1625,2.66
47,20.8007,106,33.1624,2.69
47,20.8008,106,33.1622,2.81
47,20.8008,106,33.1622,2.64
47,20.8008,106,33.1622,2.62
47,20.8008,106,33.1621,2.65
47,20.8008,106,33.1621,2.56
47,20.8009,106,33.1621,2.75
47,20.7866,106,33.3995,2.7
47,20.7517,106,33.9444,2.71
47,20.7018,106,34.462,2.71
